Character;Sentence
MCGONAGALL;Right. Now, today, we will be transforming animals into water goblets.
MCGONAGALL;Like so.
MCGONAGALL;One, two, three. Vera Verto.
MCGONAGALL;Now it's your turn.
MCGONAGALL;Who would like to go first?
MCGONAGALL;Ahh , Mr. Weasley.
MCGONAGALL;One, two, three. Vera Verto.
RON;Vera Verto!
MCGONAGALL;That wand needs replacing, Mr. Weasley.
MCGONAGALL;Yes, Miss Granger?
HERMIONE;Professor I was wondering if you could tell us about the Chamber of Secrets.
MCGONAGALL;Very well.
MCGONAGALL;You all know, of course that Hogwarts was founded over a thousand years ago by the four greatest witches and wizards of the age:
MCGONAGALL;Godric Gryffindor,
MCGONAGALL;Helga Hufflepuff...
MCGONAGALL;Rowena Ravenclaw
MCGONAGALL;Salazar Slytherin.
MCGONAGALL;Now, three of the founders coexisted quite harmoniously.
MCGONAGALL;One did not.
RON;Three guesses who.
MCGONAGALL;Salazar Slytherin wished to be more selective about the students admitted to Hogwarts.
MCGONAGALL;He believed magical learning should be kept within all-magic families.
MCGONAGALL;In other words, pure-bloods.
MCGONAGALL;Unable to sway the others, he decided to leave the school.
MCGONAGALL;Now, according to legend Slytherin had built a hidden chamber in this castle known as the Chamber of Secrets.
MCGONAGALL;Though, shortly before departing, he sealed it until that time when his own true Heir returned to the school.
MCGONAGALL;The Heir alone would be able to open the Chamber and unleash the horror within, and by so doing purge the school of all those who in Slytherin's view, were unworthy to study magic.
HERMIONE;Muggle-borns.
MCGONAGALL;Well , Naturally, the school has been searched many times.
MCGONAGALL;No such chamber has been found.
HERMIONE;Professor? What exactly does legend tell us lies within the Chamber?
MCGONAGALL;The Chamber is said to be home to something that only the Heir of Slytherin can control.
MCGONAGALL;It is said to be the home of a monster.
RON;Do you think it's true?
RON; Do you think there really is a Chamber of Secrets?
HERMIONE;Yes. Couldn't you tell? 
HERMIONE;McGonagall's worried. 
HERMIONE;All the teachers are.
HARRY;If there really is a Chamber of Secrets, and it has been opened, that means... 
HERMIONE;The Heir of Slytherin has returned to Hogwarts. 
HERMIONE;The question is, who is it?
RON;Let's think. 
RON;Who do we know who thinks all Muggle-borns are scum?
HERMIONE;If you're talking about Malfoy...
RON;Of course. You heard him.
RON;You'll be next, Mudbloods.
HERMIONE;I heard him.
HERMIONE;But Malfoy, the Heir of Slytherin?
HARRY;Maybe Ron's right, Hermione.
HARRY;I mean, look at his family.
HARRY;The whole lot of them have been in Slytherin for centuries.
RON;Crabbe and Goyle must know.
RON;Maybe we could trick them into telling.
HERMIONE;Even they aren't that thick.
HERMIONE;But there might be another way.
HERMIONE;Mind you, it would be difficult.
HERMIONE;Not to mention we'd be breaking about 50 school rules...
HERMIONE;and it'll be dangerous.
HERMIONE;Very dangerous.
HERMIONE;Here it is.
HERMIONE;The Polyjuice Potion.
HERMIONE;Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.
RON;You mean if Harry and I drink that stuff, we'll turn into Crabbe and Goyle?
HERMIONE;Yes 
RON;Wicked! Malfoy will tell us anything.
HERMIONE;Exactly.
HERMIONE;But it's tricky. 
HERMIONE;I've never seen a more complicated potion.
HARRY;How long will it take to make?
HERMIONE;A month.
HARRY;A month?
HARRY;But, Hermione,
HARRY;if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.
HERMIONE;I know.
HERMIONE;But it's the only plan we've got.
LEE JORDAN;Another goal for Slytherin!
LEE JORDAN;They lead Gryffindor 90 to 30.
SLYTHERINS;Yeah! Yeah!
DRACO;All right there, Scarhead?
WOOD;Watch yourself, Harry!
HARRY;Wood, look out!
HAGRID;Blimey! Harry's got himself a rogue Bludger.
HAGRID;That's been tampered with, that has.
RON;I'll stop it.
HERMIONE;No! Even with a proper wand, it's too risky.
HERMIONE;You could hit Harry.
DRACO;Training for the ballet, Potter!!
DRACO;You'll never catch me, Potter.
HERMIONE;Let's go.
LEE JORDAN;Harry Potter has caught the Snitch.
LEE JORDAN;Gryffindor wins!
HERMIONE;Finite Incantatem!
HARRY;Thank you.
HERMIONE;Are you okay?
HARRY;No. I think my arm is broken.
GILDEROY LOCKHART;Not to worry, Harry. 
GILDEROY LOCKHART;I will fix that arm of yours straight away.
HARRY;No, Not you.
GILDEROY LOCKHART;Boy doesn't know what he's saying.
GILDEROY LOCKHART;This won't hurt a bit.
GILDEROY LOCKHART;Brackium Emendo!
GILDEROY LOCKHART;Yes, well, that can sometimes happen but the point is you can no longer feel any pain, and, very clearly, the bones are not broken.
HAGRID;Broken? There's no bones left.
GILDEROY LOCKHART;Much more flexible, though.
MADAM POMFREY;Mr. Malfoy, stop making such a fuss.
MADAM POMFREY;You can go. Out of my way.
MADAM POMFREY;Should have been brought straight to me.
MADAM POMFREY;I can mend bones in a heartbeat, but growing them back...
HERMIONE;You will be able to, won't you?
MADAM POMFREY;I'll be able to, certainly.
MADAM POMFREY;But it'll be painful.
MADAM POMFREY;You're in for a rough night, Potter.
MADAM POMFREY;Regrowing bones is a nasty business.
MADAM POMFREY;What do you expect?
MADAM POMFREY;Pumpkin juice?
VOICE;Kill. Kill.!!
VOICE;Time to kill..
DOBBY;Hello.
HARRY;Dobby?
DOBBY;Harry Potter should have listened to Dobby.
DOBBY;Harry Potter should have gone back home when he missed the train.
HARRY;It was you. 
HARRY;You stopped the barrier from letting Ron and me through.
DOBBY;Indeed. Yes, sir.
HARRY;You nearly got Ron and me expelled.
DOBBY;At least you would be away from here.
DOBBY;Harry Potter must go home.
DOBBY;Dobby thought his Bludger would be enough to make Harry Potter see...
HARRY;Your Bludger? You made that Bludger chase after me?
DOBBY;Dobby feels most aggrieved, sir.
DOBBY;Dobby had to iron his hands.
HARRY;You better clear off before my bones come back Dobby, or I might strangle you.
DOBBY;Dobby is used to death threats, sir.
DOBBY;Dobby gets them five times a day at home.
HARRY;I don't suppose you could tell me why you're trying to kill me?
DOBBY;Not kill you, sir.
DOBBY;Never kill you.
DOBBY;Dobby remembers how it was before Harry Potter triumphed over He-Who-Must-Not-Be-Named.
DOBBY;We house-elves were treated like vermin, sir.
DOBBY;Of course, Dobby is still treated like vermin.
HARRY;Why do you wear that thing, Dobby?
DOBBY;This, sir? It is a mark of the house-elf's enslavement.
DOBBY;Dobby can only be freed if his master presents him with clothes.
DOBBY;Listen.
DOBBY;Listen!
DOBBY;Terrible things are about to happen at Hogwarts.
DOBBY;Harry Potter must not stay here...now that history is to repeat itself.
HARRY;Repeat itself? You mean this has happened before?
DOBBY;Oahh! I shouldn't have said that.
DOBBY;Bad Dobby! Bad!
HARRY;Stop it!
HARRY;Stop it, Dobby!
HARRY;Tell me Dobby when did this happen before?
HARRY;Who's doing it now?
DOBBY;Dobby cannot say, sir. 
DOBBY;Dobby only wants Harry Potter to be safe.
HARRY;No, Dobby. Tell me.
HARRY;Who is it?
MADAM POMFREY;Put him here.
MADAM POMFREY;What happened?
DUMBLEDORE;There's been another attack.
MCGONAGALL;I think he's been Petrified, Madam Pomfrey.
MCGONAGALL;Look. Perhaps he managed to take a picture of his attacker.
MCGONAGALL;What can this mean, Albus?
DUMBLEDORE;It means that our students are in great danger.
MCGONAGALL;What should I tell the staff?
DUMBLEDORE;The truth.
DUMBLEDORE;Tell them Hogwarts is no longer safe.
DUMBLEDORE;It is as we feared, Minerva
DUMBLEDORE;The Chamber of Secrets has indeed been opened again.
HERMIONE;Again? You mean the Chamber of Secrets has been opened before?
RON;Of course.
RON;Don't you see?
RON;Lucius Malfoy must have opened it when he was at school here.
RON;Now he's taught Draco how to do it.
HERMIONE;Maybe.
HERMIONE;We'll have to wait for the Polyjuice Potion to know for sure.
RON;Enlighten me. Why are we brewing this potion in broad daylight in the middle of the girls' lavatory?
RON;Don't you think we'll get caught?
HERMIONE;No. No one ever comes in here.
RON;Why?
HERMIONE;Moaning Myrtle.
RON;Who?
HERMIONE;Moaning Myrtle.
RON;Who's Moaning Myrtle?
MOANING MYRTLE;I'm Moaning Myrtle.
MOANING MYRTLE;I wouldn't expect you to know me.
MOANING MYRTLE;Who would ever talk about ugly, miserable moping Moaning Myrtle? Aaaaaa…
HERMIONE;She's a little sensitive.
GILDEROY LOCKHART;Gather round!
GILDEROY LOCKHART;Gather round.
GILDEROY LOCKHART;Can everybody see me?
GILDEROY LOCKHART;Can you all hear me?
GILDEROY LOCKHART;Excellent.
GILDEROY LOCKHART;In light of the dark events of recent weeks Professor Dumbledore has granted me permission to start this Dueling Club to train you all up.
GILDEROY LOCKHART;In case you ever need to defend yourselves as I myself have done on countless occasions.
GILDEROY LOCKHART;For full details, see my published works.
GILDEROY LOCKHART;Let me introduce my assistant Professor Snape.
GILDEROY LOCKHART;He has sportingly agreed to help with a short demonstration.
GILDEROY LOCKHART;I don't want any of you youngsters to worry.
GILDEROY LOCKHART;You'll still have your Potions master when I'm through with him. Never fear.
GILDEROY LOCKHART;One.Two. Three!
SNAPE;Expelliarmus!
HERMIONE;Do you think he's all right?
RON;Who cares?
GILDEROY LOCKHART;An excellent idea to show them that, Professor Snape...
GILDEROY LOCKHART;but if you don't mind me saying, it was obvious what you were about to do.
GILDEROY LOCKHART;If I had wanted to stop you, it would have been only too easy.
SNAPE;Perhaps it would be prudent to first teach the students to block unfriendly spells, professor.
GILDEROY LOCKHART;An excellent suggestion, Professor Snape..
GILDEROY LOCKHART;Let's have a volunteer pair. 
GILDEROY LOCKHART;Potter, Weasley, how about you?
SNAPE;Weasley's wand causes devastation with the simplest spells.
SNAPE;We'll be sending Potter to the hospital wing in a matchbox.
SNAPE;Might I suggest someone from my own house?
SNAPE;Malfoy, perhaps?
GILDEROY LOCKHART;Good luck, Potter.
HARRY;Thank you, sir.
GILDEROY LOCKHART;Wands at the ready.
DRACO;Scared, Potter?
HARRY;You wish.
GILDEROY LOCKHART;On the count of three cast your charms to disarm your opponent. Only to disarm.
GILDEROY LOCKHART;We don't want any accidents here.
GILDEROY LOCKHART;One. Two...
DRACO;Everte Statum!
HARRY;Rictusempra!
GILDEROY LOCKHART;I said disarm only.
DRACO;Serpensortia!
SNAPE;Don't move, Potter.
SNAPE;I'll get rid of it for you.
GILDEROY LOCKHART;Allow me, Professor Snape.
GILDEROY LOCKHART;Alarte Ascendare!
SNAPE;Vipera Evanesca.
JUSTIN FINCH-FLETCHLEY;What are you playing at?
RON;You're a Parselmouth?
RON;Why didn't you tell us?
HARRY;I'm a what?
HERMIONE;You can talk to snakes.
HARRY;I know. I accidentally set a python on my cousin Dudley at the zoo once.
HARRY;Once. But so what?
HARRY;I bet loads of people here can do it.
HERMIONE;No, they can't.
HERMIONE;It's not a very common gift, Harry.
HERMIONE;This is bad.
HARRY;What's bad? If I hadn't told that snake not to attack Justin...
RON;That's what you said to it.
HARRY;You were there. You heard me.
RON;I heard you speaking Parseltongue.
RON;Snake language.
HARRY;I spoke a different language?
HARRY;But I didn't realize...
HARRY;How can I speak a language without knowing I can?
HERMIONE;I don't know, but it sounded like you were egging the snake on or something.
HERMIONE;Harry, listen to me.
HERMIONE;There's a reason the symbol of Slytherin house is a serpent.
HERMIONE;Salazar Slytherin was a Parselmouth.
HERMIONE;He could talk to snakes too.
RON;Exactly.
RON;Now the whole school's gonna think you're his great-great-great grandson.
HARRY;But I'm not.
HARRY;I can't be.
HERMIONE;He lived a thousand years ago.
HERMIONE;For all we know, you could be.
HARRY;I'll see you back in the common room.
VOICE;I want blood.
VOICE;They all must die.
VOICE;Kill. Kill. Kill.
VOICE;Time to kill.
FILCH;Caught in the act.
FILCH;I'll have you out this time, Potter.
FILCH;Mark my words.
HARRY;No. Mr. Filch! You don't understand...
HARRY;Professor I swear I didn't.
MCGONAGALL;This is out of my hands, Potter.
MCGONAGALL;Professor Dumbledore will be waiting for you.
MCGONAGALL;Sherbet Lemon.
HARRY;Professor Dumbledore?
SORTING HAT;Bee in your bonnet, Potter?
HARRY;I...I..I was just wondering if you put me in the right house.
SORTING HAT;Yes. You were particularly difficult to place.
SORTING HAT;But I stand by what I said last year.
SORTING HAT;You would have done well in Slytherin.
HARRY;You're wrong.
DUMBLEDORE;Harry?
HARRY;Professor.
HARRY;Your bird...There was nothing I could do.
HARRY;He just caught fire.
DUMBLEDORE;And about time too.
DUMBLEDORE;He's been looking dreadful for days.
DUMBLEDORE;Pity you had to see him on a burning day.
DUMBLEDORE;Fawkes is a phoenix, Harry.
DUMBLEDORE;They burst into flame when it is time for them to die...
DUMBLEDORE;and then they are reborn from the ashes.
DUMBLEDORE;Fascinating creatures, phoenixes.
DUMBLEDORE;They can carry immensely heavy loads.
DUMBLEDORE;Their tears have healing powers.
HAGRID;Professor Dumbledore, sir!
HAGRID;Wait! Listen!
HAGRID;Professor Dumbledore, sir, it wasn't Harry.
HAGRID;I'd be prepared to swear it in front of the Ministry of Magic.
DUMBLEDORE;Hagriiid!! Relax.
DUMBLEDORE;I do not believe that Harry attacked anyone.
HAGRID;Of course you don't.
HAGRID;Ohh! Oww! Right. Well, I'll...
HAGRID;I'll just wait outside, then.
DUMBLEDORE;Yes.
HARRY;You don't think it was me, professor?
DUMBLEDORE;No, Harry. I do not think it was you.
DUMBLEDORE;But I must ask you is there something you wish to tell me?
HARRY;No, sir. Nothing
DUMBLEDORE;Very well, then.
DUMBLEDORE;Off you go.
HERMIONE;Everything's set. 
HERMIONE;We just need a bit of who you're changing into.
HARRY;Crabbe and Goyle.
HERMIONE;We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
RON;How?
HERMIONE;I've got it all worked out.
HERMIONE;I filled these with a simple Sleeping Draught.
HERMIONE;Simple, but powerful.
HERMIONE;Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms.
RON;Whose hair are you ripping out, then?
HERMIONE;I've already got mine.
HERMIONE;Millicent Bulstrode. Slytherin.
HERMIONE;I got this off her robes.
HERMIONE;I'm going to go check on the Polyjuice Potion.
HERMIONE;Make sure that Crabbe and Goyle find these.
HARRY;Ron, maybe I should do it.
RON;Yeah. Right.
HARRY;Wingardium Leviosa.
CRABBE;Cool. Umm..um.
RON;How thick could you get?
HARRY;Come on, let's get them.
HERMIONE;We'll have exactly one hour before we change back into ourselves.
HERMIONE;Add the hairs.
RON;Essence of Crabbe.
HERMIONE;Cheers.
RON;I think I'm gonna be sick.
HERMIONE;Me too.
RON;Harry?
HARRY;Ron.
RON;Bloody hell!
HARRY;We still sound like ourselves.
HARRY;You need to sound more like Crabbe.
RON;Bloody hell.
HARRY;Excellent.
RON;But where's Hermione?
HERMIONE;I...I don't think I'm going.
HERMIONE;You go on without me.
HARRY;Hermione, are you okay?
HERMIONE;Just go. You're wasting time.
HARRY;Come on.
HARRY;I think the Slytherin common room's this way.
PERCY;Excuse me.
RON;What are you doing d...?
RON;I mean, what are you doing down here?
PERCY;I happen to be a school prefect.
PERCY;You, on the other hand, have no business wandering the corridors at night.
PERCY;What are your names again?
HARRY;I'm...
DRACO;Crabbe, Goyle, where have you been?
DRACO;Pigging out in the Great Hall all this time?
DRACO;Why are you wearing glasses?
HARRY;Ah- um.. Reading.
DRACO;Reading?
DRACO;I didn't know you could read.
DRACO;And what are you doing down here, Weasley?
PERCY;Mind your attitude, Malfoy.
DRACO;Well, sit down.
DRACO;You'd never know the Weasleys were pure-bloods, the way they behave.
DRACO;They're an embarrassment to the wizarding world. All of them.
DRACO;What's wrong with you, Crabbe?
RON;Stomachache.
DRACO;I'm surprised the Daily Prophet hasn't done a report on all these attacks.
DRACO;I suppose Dumbledore is trying to hush it all up.
DRACO;Father always said Dumbledore was the worst thing that ever happened to this place.
HARRY;You're wrong!
DRACO;What?
DRACO;You think there's someone here who's worse than Dumbledore?
DRACO;Well? Do you?
HARRY;Harry Potter?
DRACO;Good one, Goyle.
DRACO;You're absolutely right.
DRACO;Saint Potter.
DRACO;And people actually think that he's the Heir of Slytherin?
HARRY;But then you must have some idea who's behind it all.
DRACO;You know I don't, Goyle.
DRACO;I told you yesterday.
DRACO;How many times do I have to tell you?
DRACO;Is this yours?
DRACO;But my father did say this:
DRACO;It's been 50 years since the Chamber was opened.
DRACO;He wouldn't tell me who opened it.
DRACO;Only that they were expelled.
DRACO;The last time the Chamber of Secrets was opened, a Mudblood died.
DRACO;So it's only a matter of time before one of them is killed this time.
DRACO;As for me I hope it's Granger.
DRACO;What's the matter with you two?
DRACO;You're acting very odd.
HARRY;It's his stomachache.
HARRY;Calm down.
RON;Scar!
HARRY;Hair!
DRACO;Hey! Where are you going?
RON;That was close.
HARRY;Hermione, come out.
HARRY;We've got loads to tell you.
HERMIONE;Go away.
MOANING MYRTLE;Wait till you see. It's awful.
HARRY;Hermione?
HARRY;Are you okay?
HERMIONE;Do you remember me telling you that the Polyjuice Potion was only for human transformations?
HERMIONE;It was cat hair I plucked off Millicent Bulstrode's robes.
HERMIONE;Look at my face.
RON;Look at your tail.
RON;Have you spoken to Hermione?
HARRY;She should be out of hospital in a few days when she stops coughing up fur balls.
HARRY;What's this?
RON;Yuck!
HARRY;Looks like Moaning Myrtle's flooded the bathroom.
MOANING MYRTLE;Ohh-Uhh..Come to throw something else at me?
HARRY;Why would I throw something at you?
MOANING MYRTLE;Don't ask me. Here I am, minding my own business and someone thinks it's funny to throw a book at me.
RON;But it can't hurt if someone throws something at you.
RON;I mean, it'll just go right through you.
MOANING MYRTLE;SURE! Let's all throw books at Myrtle because she can't feel it.
MOANING MYRTLE;Ten points if you get it through her stomach!
MOANING MYRTLE;Fifty points if it goes through her head!
HARRY;But who threw it at you, anyway?
MOANING MYRTLE;I don't know. I didn't see them.
MOANING MYRTLE;I was just sitting in the U-bend, thinking about death and it fell through the top of my head.
MOANING MYRTLE;Whoo-oooh-whoooo...
HARRY;"""Tom Marvolo Riddle."""
HARRY;My name is Harry Potter.
DIARY;Hello Harry Potter, my name is Tom Riddle.
HARRY;Do you know anything about the Chamber of Secrets?
DIARY;Yes.
HARRY;Can you tell me?
DIARY;No. But I can show you.
DIARY;Let me take you back fifty years ago.
DIARY;13th June..
HARRY;Excuse me. 
HARRY;Could you tell me what's going on here?
HARRY;Are you Tom Riddle?
HARRY;Hello, can you hear me?
DUMBLEDORE;Riddle! Come.
TOM RIDDLE;Professor Dumbledore.
HARRY;Dumbledore?
DUMBLEDORE;It is not wise to be wandering around this late hour, Tom.
TOM RIDDLE;Yes, professor. I suppose I...
TOM RIDDLE;I had to see for myself if the rumors were true.
DUMBLEDORE;I'm afraid they are, Tom.
DUMBLEDORE;They are true.
TOM RIDDLE;About the school as well?
TOM RIDDLE;I don't have a home to go to.
TOM RIDDLE;They wouldn't really close Hogwarts, would they, professor?
DUMBLEDORE;I understand, Tom, but I'm afraid Headmaster Dippet may have no choice.
TOM RIDDLE;Sir, if it all stopped, if the person responsible was caught...
DUMBLEDORE;Is there something you wish to tell me?
TOM RIDDLE;No, sir. Nothing.
DUMBLEDORE;Very well, then. Off you go.
TOM RIDDLE;Good night, sir.
HAGRID;Let's get you out of there.
TOM RIDDLE;Evening, Hagrid.
TOM RIDDLE;I'm going to have to turn you in Hagrid
TOM RIDDLE;I don't think you meant it to kill anyone...
HAGRID;You can't. You don't understand.
TOM RIDDLE;The dead girl's parents will be here tomorrow. 
TOM RIDDLE;The least Hogwarts can do is make sure the thing that killed their daughter is slaughtered.
HAGRID;It wasn't him.
HAGRID;Aragog never killed no one. Never.
TOM RIDDLE;Monsters don't make good pets, Hagrid.
TOM RIDDLE;Now, stand aside.
HAGRID;No!
TOM RIDDLE;Stand aside, Hagrid.
HAGRID;No!
TOM RIDDLE;Cistem Aperio!
TOM RIDDLE;Arania Exumai!
HAGRID;Aragog! Aragog!
TOM RIDDLE;I can't let you go.
TOM RIDDLE;They'll have your wand for this, Hagrid.
TOM RIDDLE;You'll be expelled.
HARRY;Hagrid!
HARRY;HAAGRIIID!
HARRY;Wow!
HARRY;It was Hagrid. 
HARRY;Hagrid opened the Chamber of Secrets 50 years ago.
HERMIONE;It can't be Hagrid.
HERMIONE;It just can't be.
RON;We don't even know this Tom Riddle.
RON;He sounds like a dirty, rotten snitch.
HARRY;The monster had killed somebody, Ron.
HARRY;What would any of us have done?
HERMIONE;Look, Hagrid's our friend. 
HERMIONE;Why don't we just go and ask him about it?
RON;That would be a cheerful visit.
RON;"Hello, Hagrid. Tell us, have you been setting anything mad and hairy loose in the castle lately?"
HAGRID;Mad and hairy? You wouldn't be talking about me, now, would you?
HARRY-RON-HERMIONE;No.
HARRY;What's that you've got, Hagrid?
HAGRID;It's Flesh-Eating Slug Repellent.
HAGRID;For the Mandrakes, you know.
HAGRID;Now, according to Professor Sprout, they've still got a bit of growing to do.
HAGRID;But once their acne's cleared up, we'll chop them up and stew them. and then we'll get those people down at the hospital un-Petrified.
HAGRID;In the meantime, though, you three had best be looking after yourselves.
HAGRID;All right?
HAGRID;Hello, Neville.
NEVILLE;Harry, I don't know who did it, but you'd better come.
NEVILLE;Come on!
HERMIONE;It had to be a Gryffindor.
HERMIONE;Nobody else knows our password.
HERMIONE;Unless it wasn't a student.
RON;Whoever it was, they must have been looking for something.
HARRY;And they found it.
HARRY;Tom Riddle's diary is gone.
WOOD;All right, listen up.
WOOD;We play our game, Hufflepuff doesn't stand a chance.
WOOD;We're stronger, quicker and smarter.
FRED;Not to mention they're dead scared that Harry will Petrify them if they fly anywhere near him.
WOOD;Well, that too.
WOOD;Professor McGonagall.
MCGONAGALL;This match has been canceled.
WOOD;We can't cancel Quidditch.
MCGONAGALL;Silence, Wood. You and your teammates will go to Gryffindor Tower. Now.
MCGONAGALL;Potter, you and I will find Mr. Weasley.
MCGONAGALL;There's something the both of you have to see.
MCGONAGALL;I warn you.
MCGONAGALL;This could be a wee bit of a shock.
RON;Hermione!
MCGONAGALL;She was found near the library along with this.
MCGONAGALL;Does it mean anything to either of you?
HARRY;No.
MCGONAGALL;Could I have your attention, please?
MCGONAGALL;Because of recent events, these new rules will be put into effect immediately:
MCGONAGALL;"All students will return to their house common rooms by 6:00 every evening."
MCGONAGALL;All students will be escorted to each lesson by a teacher.
MCGONAGALL;No exceptions.
MCGONAGALL;I should tell you this:
MCGONAGALL;Unless the culprit behind these attacks is caught it is likely the school will be closed.
HARRY;We've got to talk to Hagrid, Ron.
HARRY;I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
RON;But you heard McGonagall.
RON;We're not allowed to leave the tower except for class.
HARRY;I think it's time to get my dad's old cloak out again.
HAGRID;Who's there?
HAGRID;Hello? Hello?
HARRY;What's that for?
HAGRID;Nothing. I was expecting... It doesn't matter. Come on in.
HAGRID;I just made a pot of tea.
HARRY;Hagrid, are you okay?
HAGRID;I'm fine. I'm all right.
HARRY;Did you hear about Hermione?
HAGRID;Oh yeah. I heard about that, all right.
HARRY;Look, we have to ask you something.
HARRY;Do you know who's opened the Chamber of Secrets?
HAGRID;What you had to understand about that is...
HAGRID;Quick, under the cloak.
HAGRID;Don't say a word.
HAGRID;Be quiet, both of you.
HAGRID;Professor Dumbledore, sir.
DUMBLEDORE;Good evening, Hagrid.
DUMBLEDORE;I wonder, could we...?
HAGRID;Of course. Come in. Come in.
RON;That's Dad's boss.
RON;Cornelius Fudge, Minister of Magic.
FUDGE;Bad business, Hagrid, very bad business.
FUDGE;Had to come.
FUDGE;Three attacks on Muggle-borns.
FUDGE;Things have gone far enough.
FUDGE;The Ministry's got to act.
HAGRID;But I never...
HAGRID;You know I never, professor.
DUMBLEDORE;I want it understood, Cornelius that Hagrid has my full confidence.
FUDGE;Albus, look, Hagrid's record is against him.
FUDGE;I've got to take him.
HAGRID;Take me? Take me where?
HAGRID;Not Azkaban prison.
FUDGE;I'm afraid we have no choice, Hagrid.
LUCIUS MALFOY;Already here, Fudge?
LUCIUS MALFOY;Good.
HAGRID;What are you doing here?
HAGRID;Get out of my house!
LUCIUS MALFOY;Believe me I take absolutely no pleasure being inside your...
LUCIUS MALFOY;You call this a house?
LUCIUS MALFOY;No.
LUCIUS MALFOY;I simply called up the school and was told the headmaster was here.
DUMBLEDORE;Well, what exactly is it that you want with me?
LUCIUS MALFOY;The other governors and I have decided it's time for you to step aside.
LUCIUS MALFOY;This is an order of suspension.
LUCIUS MALFOY;You'll find all 12 signatures on it.
LUCIUS MALFOY;I'm afraid we feel you've rather lost your touch.
LUCIUS MALFOY;Well, what, with all these attacks there'll be no Muggle-borns left at Hogwarts.
LUCIUS MALFOY;I can only imagine what an awful loss that would be to the school.
HAGRID;You can't take Professor Dumbledore away.
HAGRID;Take him away and the Muggle-borns won't stand a chance.
HAGRID;You mark my words, there'll be killings next!
LUCIUS MALFOY;You think so?
DUMBLEDORE;Calm yourself, Hagrid.
DUMBLEDORE;If the governors desire my removal I will, of course, step aside.
DUMBLEDORE;However you will find that help will always be given at Hogwarts to those who ask for it.
LUCIUS MALFOY;Admirable sentiments.
LUCIUS MALFOY;Shall we?
LUCIUS MALFOY;Fudge.
FUDGE;Come, Hagrid.
HAGRID;Well? If...
HAGRID;If anybody was looking for some stuff then all they'd have to do would be to follow the spiders.
HAGRID;Yep. That would lead them right.
HAGRID;That's all I have to say.
HAGRID;And someone will need to feed Fang while I'm away.
FUDGE;Good boy.
RON;Hagrid's right.
RON;With Dumbledore gone, there'll be an attack a day.
HARRY;Look.
HARRY;Come on.
HARRY;Come on, Fang.
HARRY;Come on.
RON;What?
HARRY;You heard what Hagrid said.
HARRY;Follow the spiders.
RON;They're heading to the Dark Forest.
RON;"Why spiders? Why couldn't it be ""follow the butterflies""?"
RON;Harry, I don't like this.
RON;Harry, I don't like this at all.
HARRY;Shush!
RON;Can we go back now?
HARRY;Come on.
ARAGOG;Who is it?
HARRY;Don't panic.
ARAGOG;Hagrid?
ARAGOG;Is that you?
HARRY;We're friends of Hagrid's.
HARRY;And you?
HARRY;You're Aragog, aren't you?
ARAGOG;Yes.
ARAGOG;Hagrid has never sent men into our hollow before.
HARRY;He's in trouble. Up at the school, there have been attacks.
HARRY;They think it's Hagrid.
HARRY;They think he opened the Chamber of Secrets. Like before.
ARAGOG;That's a lie.
ARAGOG;Hagrid never opened the Chamber of Secrets.
HARRY;Then you're not the monster?
ARAGOG;No.
ARAGOG;The monster was born in the castle.
ARAGOG;I came to Hagrid from a distant land in the pocket of a traveler.
RON;Harry.
HARRY;But if you're not the monster, then what did kill that girl 50 years ago?
ARAGOG;We do not speak of it.
ARAGOG;It is an ancient creature we spiders fear above all others.
HARRY;But have you seen it?
ARAGOG;I never saw any part of the castle but the box in which Hagrid kept me.
ARAGOG;The girl was discovered in a bathroom.
ARAGOG;When I was accused, Hagrid brought me here.
RON;Harry!
HARRY;What?
HARRY;Well, thank you.
HARRY;We'll just go.
ARAGOG;Go?
ARAGOG;I think not.
ARAGOG;My sons and daughters do not harm Hagrid on my command.
ARAGOG;But I cannot deny them fresh meat when it wanders so willingly into our midst.
ARAGOG;Goodbye, friend of Hagrid.
RON;Can we panic now?
RON;Know any spells?
HARRY;One, but it's not powerful enough for all of them.
RON;Where's Hermione when you need her?
HARRY;Let's go!
HARRY;Arania Exumai!
HARRY;Go!
RON;Glad we're out of there.
HARRY;Arania Exumai!
RON;Thanks for that.
HARRY;Don't mention it.
HARRY;Get us out of here.
HARRY;Now!
HARRY;Come on!
HARRY;Come on, move faster!
HARRY;Come on! Go!
HARRY;Get us in the air.
RON;The flying gear's jammed!
HARRY;Come on! Pull!
RON;I'm trying!
RON;Follow the spiders!
RON;Follow the spiders.
RON;If Hagrid ever gets out of Azkaban, I'll kill him.
RON;I mean, what was the point of sending us in there?
RON;What have we found out?
HARRY;We know one thing.
HARRY;Hagrid never opened the Chamber of Secrets.
HARRY;He was innocent.
HARRY;Wish you were here, Hermione.
HARRY;We need you.
HARRY;Now more than ever.
RON;What's that?
HARRY;Ron...
HARRY;This is why Hermione was in the library the day she was attacked.
